competencia_data,planoContas_id,valor
01/01/2022,02.01.01,1.195.846.46
01/01/2022,02.01.02,663.255.98
01/01/2022,02.02.01,57.955.12
01/01/2022,02.02.02,27.886.54
01/01/2022,02.02.03,18.591.02
01/01/2022,02.02.04,260.274.34
01/01/2022,02.02.05,12.084.17
01/01/2022,02.02.06,55.773.07
01/01/2022,02.02.07,59.792.32
01/01/2022,02.04.01,657.715.55
01/01/2022,02.04.02,232.139.59
01/01/2022,02.06.01,219.073.04
01/01/2022,02.06.02,30.670.23
01/01/2022,02.06.03,23.732.91
01/01/2022,02.06.04,18.256.09
01/01/2022,02.06.05,2.190.73
01/01/2022,02.06.06,657.22
01/01/2022,02.06.07,3.286.10
01/01/2022,02.06.08,1.643.05
01/01/2022,02.06.09,19.716.57
01/01/2022,02.06.10,1.971.66
01/01/2022,02.06.11,1.859.10
01/01/2022,02.06.12,4.819.61
01/01/2022,02.06.13,2.409.80
01/01/2022,02.06.14,876.29
01/01/2022,02.06.15,1.423.97
01/01/2022,02.06.16,1.314.44
01/01/2022,02.06.17,4.750.00
01/01/2022,02.06.18,190.00
01/01/2022,02.06.19,427.50
01/01/2022,02.06.20,403.75
01/01/2022,02.06.21,285.00
01/01/2022,02.06.22,27.886.54
01/01/2022,02.06.23,18.591.02
01/01/2022,02.06.24,23.238.78
01/01/2022,02.07.01,3.718.20
01/01/2022,02.07.02,650.69
01/01/2022,02.09.01,1.533.51
01/01/2022,02.09.02,1.095.37
01/01/2022,02.10.01,2.788.65
01/01/2022,02.10.02,1.394.33
01/01/2022,02.12.01,4.259.14
01/01/2022,02.12.02,1.893.29
01/02/2022,02.01.01,1.148.099.29
01/02/2022,02.01.02,820.584.06
01/02/2022,02.02.01,63.434.17
01/02/2022,02.02.02,29.530.25
01/02/2022,02.02.03,19.686.83
01/02/2022,02.02.04,275.615.67
01/02/2022,02.02.05,12.796.44
01/02/2022,02.02.06,59.060.50
01/02/2022,02.02.07,57.404.96
01/02/2022,02.04.01,631.454.61
01/02/2022,02.04.02,287.204.42
01/02/2022,02.06.01,237.897.54
01/02/2022,02.06.02,19.031.80
01/02/2022,02.06.03,25.772.23
01/02/2022,02.06.04,19.824.79
01/02/2022,02.06.05,2.378.98
01/02/2022,02.06.06,713.69
01/02/2022,02.06.07,3.568.46
01/02/2022,02.06.08,1.784.23
01/02/2022,02.06.09,21.410.78
01/02/2022,02.06.10,2.141.08
01/02/2022,02.06.11,1.968.68
01/02/2022,02.06.12,9.515.90
01/02/2022,02.06.13,2.616.87
01/02/2022,02.06.14,951.59
01/02/2022,02.06.15,2.141.08
01/02/2022,02.06.16,1.427.39
01/02/2022,02.06.17,4.750.00
01/02/2022,02.06.18,190.00
01/02/2022,02.06.19,427.50
01/02/2022,02.06.20,403.75
01/02/2022,02.06.21,285.00
01/02/2022,02.06.22,29.530.25
01/02/2022,02.06.23,41.342.35
01/02/2022,02.06.24,24.608.54
01/02/2022,02.07.01,3.937.37
01/02/2022,02.07.02,689.04
01/02/2022,02.09.01,1.665.28
01/02/2022,02.09.02,1.189.49
01/02/2022,02.10.01,2.953.03
01/02/2022,02.10.02,1.476.51
01/02/2022,02.12.01,6.725.57
01/02/2022,02.12.02,2.781.21
01/03/2022,02.01.01,1.195.171.36
01/03/2022,02.01.02,853.407.43
01/03/2022,02.02.01,67.428.94
01/03/2022,02.02.02,30.728.68
01/03/2022,02.02.03,20.485.79
01/03/2022,02.02.04,286.801.03
01/03/2022,02.02.05,13.315.76
01/03/2022,02.02.06,61.457.36
01/03/2022,02.02.07,59.758.57
01/03/2022,02.04.01,657.344.25
01/03/2022,02.04.02,298.692.60
01/03/2022,02.06.01,247.528.25
01/03/2022,02.06.02,19.802.26
01/03/2022,02.06.03,26.815.56
01/03/2022,02.06.04,20.627.35
01/03/2022,02.06.05,2.475.28
01/03/2022,02.06.06,742.58
01/03/2022,02.06.07,3.712.92
01/03/2022,02.06.08,1.856.46
01/03/2022,02.06.09,22.277.54
01/03/2022,02.06.10,2.227.75
01/03/2022,02.06.11,2.048.58
01/03/2022,02.06.12,5.445.62
01/03/2022,02.06.13,2.722.81
01/03/2022,02.06.14,990.11
01/03/2022,02.06.15,1.608.93
01/03/2022,02.06.16,1.485.17
01/03/2022,02.06.17,4.750.00
01/03/2022,02.06.18,190.00
01/03/2022,02.06.19,427.50
01/03/2022,02.06.20,403.75
01/03/2022,02.06.21,285.00
01/03/2022,02.06.22,30.728.68
01/03/2022,02.06.23,43.020.15
01/03/2022,02.06.24,25.607.23
01/03/2022,02.07.01,4.097.16
01/03/2022,02.07.02,717.00
01/03/2022,02.09.01,1.732.70
01/03/2022,02.09.02,1.237.64
01/03/2022,02.10.01,3.072.87
01/03/2022,02.10.02,1.536.43
01/03/2022,02.12.01,8.348.12
01/03/2022,02.12.02,3.365.32
01/04/2022,02.01.01,928.753.68
01/04/2022,02.01.02,746.262.31
01/04/2022,02.02.01,48.750.80
01/04/2022,02.02.02,25.125.24
01/04/2022,02.02.03,16.750.16
01/04/2022,02.02.04,234.502.24
01/04/2022,02.02.05,10.887.60
01/04/2022,02.02.06,50.250.48
01/04/2022,02.02.07,46.437.68
01/04/2022,02.04.01,510.814.52
01/04/2022,02.04.02,261.191.81
01/04/2022,02.06.01,204.814.71
01/04/2022,02.06.02,20.481.47
01/04/2022,02.06.03,22.188.26
01/04/2022,02.06.04,17.067.89
01/04/2022,02.06.05,2.048.15
01/04/2022,02.06.06,614.44
01/04/2022,02.06.07,3.072.22
01/04/2022,02.06.08,1.536.11
01/04/2022,02.06.09,18.433.32
01/04/2022,02.06.10,1.843.33
01/04/2022,02.06.11,1.675.02
01/04/2022,02.06.12,4.505.92
01/04/2022,02.06.13,2.252.96
01/04/2022,02.06.14,819.26
01/04/2022,02.06.15,1.331.30
01/04/2022,02.06.16,1.228.89
01/04/2022,02.06.17,4.750.00
01/04/2022,02.06.18,190.00
01/04/2022,02.06.19,427.50
01/04/2022,02.06.20,403.75
01/04/2022,02.06.21,285.00
01/04/2022,02.06.22,53.600.51
01/04/2022,02.06.23,35.175.34
01/04/2022,02.06.24,20.937.70
01/04/2022,02.07.01,3.350.03
01/04/2022,02.07.02,586.26
01/04/2022,02.09.01,1.433.70
01/04/2022,02.09.02,1.024.07
01/04/2022,02.10.01,2.512.52
01/04/2022,02.10.02,1.256.26
01/04/2022,02.12.01,364.89
01/04/2022,02.12.02,491.36
01/05/2022,02.01.01,910.178.60
01/05/2022,02.01.02,723.874.44
01/05/2022,02.02.01,46.702.65
01/05/2022,02.02.02,24.510.80
01/05/2022,02.02.03,16.340.53
01/05/2022,02.02.04,228.767.43
01/05/2022,02.02.05,10.621.34
01/05/2022,02.02.06,49.021.59
01/05/2022,02.02.07,45.508.93
01/05/2022,02.04.01,500.598.23
01/05/2022,02.04.02,253.356.05
01/05/2022,02.06.01,199.599.03
01/05/2022,02.06.02,31.935.84
01/05/2022,02.06.03,21.623.23
01/05/2022,02.06.04,16.633.25
01/05/2022,02.06.05,1.995.99
01/05/2022,02.06.06,598.80
01/05/2022,02.06.07,2.993.99
01/05/2022,02.06.08,1.496.99
01/05/2022,02.06.09,17.963.91
01/05/2022,02.06.10,1.796.39
01/05/2022,02.06.11,1.634.05
01/05/2022,02.06.12,4.391.18
01/05/2022,02.06.13,2.195.59
01/05/2022,02.06.14,798.40
01/05/2022,02.06.15,1.297.39
01/05/2022,02.06.16,1.197.59
01/05/2022,02.06.17,4.750.00
01/05/2022,02.06.18,190.00
01/05/2022,02.06.19,427.50
01/05/2022,02.06.20,403.75
01/05/2022,02.06.21,285.00
01/05/2022,02.06.22,49.021.59
01/05/2022,02.06.23,16.340.53
01/05/2022,02.06.24,20.425.66
01/05/2022,02.07.01,3.268.11
01/05/2022,02.07.02,571.92
01/05/2022,02.09.01,1.397.19
01/05/2022,02.09.02,998.00
01/05/2022,02.10.01,2.451.08
01/05/2022,02.10.02,1.225.54
01/05/2022,02.12.01,2.429.50
01/05/2022,02.12.02,1.234.62
01/06/2022,02.01.01,1.083.112.54
01/06/2022,02.01.02,789.023.14
01/06/2022,02.02.01,58.606.78
01/06/2022,02.02.02,28.082.04
01/06/2022,02.02.03,18.721.36
01/06/2022,02.02.04,262.098.99
01/06/2022,02.02.05,12.168.88
01/06/2022,02.02.06,56.164.07
01/06/2022,02.02.07,54.155.63
01/06/2022,02.04.01,595.711.90
01/06/2022,02.04.02,276.158.10
01/06/2022,02.06.01,226.664.72
01/06/2022,02.06.02,22.666.47
01/06/2022,02.06.03,24.555.35
01/06/2022,02.06.04,18.888.73
01/06/2022,02.06.05,2.266.65
01/06/2022,02.06.06,679.99
01/06/2022,02.06.07,3.399.97
01/06/2022,02.06.08,1.699.99
01/06/2022,02.06.09,20.399.83
01/06/2022,02.06.10,2.039.98
01/06/2022,02.06.11,1.872.14
01/06/2022,02.06.12,4.986.62
01/06/2022,02.06.13,2.493.31
01/06/2022,02.06.14,906.66
01/06/2022,02.06.15,1.473.32
01/06/2022,02.06.16,1.359.99
01/06/2022,02.06.17,4.750.00
01/06/2022,02.06.18,190.00
01/06/2022,02.06.19,427.50
01/06/2022,02.06.20,403.75
01/06/2022,02.06.21,285.00
01/06/2022,02.06.22,52.419.80
01/06/2022,02.06.23,39.314.85
01/06/2022,02.06.24,23.401.70
01/06/2022,02.07.01,3.744.27
01/06/2022,02.07.02,655.25
01/06/2022,02.09.01,1.586.65
01/06/2022,02.09.02,1.133.32
01/06/2022,02.10.01,2.808.20
01/06/2022,02.10.02,1.404.10
01/06/2022,02.12.01,597.46
01/06/2022,02.12.02,575.08
01/07/2022,02.01.01,1.195.846.46
01/07/2022,02.01.02,663.255.98
01/07/2022,02.02.01,57.955.12
01/07/2022,02.02.02,27.886.54
01/07/2022,02.02.03,18.591.02
01/07/2022,02.02.04,260.274.34
01/07/2022,02.02.05,12.084.17
01/07/2022,02.02.06,55.773.07
01/07/2022,02.02.07,59.792.32
01/07/2022,02.04.01,657.715.55
01/07/2022,02.04.02,232.139.59
01/07/2022,02.06.01,219.073.04
01/07/2022,02.06.02,30.670.23
01/07/2022,02.06.03,23.732.91
01/07/2022,02.06.04,18.256.09
01/07/2022,02.06.05,2.190.73
01/07/2022,02.06.06,657.22
01/07/2022,02.06.07,3.286.10
01/07/2022,02.06.08,1.643.05
01/07/2022,02.06.09,19.716.57
01/07/2022,02.06.10,1.971.66
01/07/2022,02.06.11,1.859.10
01/07/2022,02.06.12,4.819.61
01/07/2022,02.06.13,2.409.80
01/07/2022,02.06.14,876.29
01/07/2022,02.06.15,1.423.97
01/07/2022,02.06.16,1.314.44
01/07/2022,02.06.17,4.750.00
01/07/2022,02.06.18,190.00
01/07/2022,02.06.19,427.50
01/07/2022,02.06.20,403.75
01/07/2022,02.06.21,285.00
01/07/2022,02.06.22,27.886.54
01/07/2022,02.06.23,18.591.02
01/07/2022,02.06.24,23.238.78
01/07/2022,02.07.01,3.718.20
01/07/2022,02.07.02,650.69
01/07/2022,02.09.01,1.533.51
01/07/2022,02.09.02,1.095.37
01/07/2022,02.10.01,2.788.65
01/07/2022,02.10.02,1.394.33
01/07/2022,02.12.01,4.259.14
01/07/2022,02.12.02,1.893.29
01/08/2022,02.01.01,928.753.68
01/08/2022,02.01.02,746.262.31
01/08/2022,02.02.01,48.750.80
01/08/2022,02.02.02,25.125.24
01/08/2022,02.02.03,16.750.16
01/08/2022,02.02.04,234.502.24
01/08/2022,02.02.05,10.887.60
01/08/2022,02.02.06,50.250.48
01/08/2022,02.02.07,46.437.68
01/08/2022,02.04.01,510.814.52
01/08/2022,02.04.02,261.191.81
01/08/2022,02.06.01,204.814.71
