competencia_data,planoContas_id,valor
01/01/2022,03.01.01,612.977.43
01/01/2022,03.01.02,492.533.12
01/01/2022,03.02.01,20.275.53
01/01/2022,03.02.02,16.582.66
01/01/2022,03.02.03,11.055.11
01/01/2022,03.02.04,154.771.48
01/01/2022,03.02.05,7.185.82
01/01/2022,03.02.06,33.165.32
01/01/2022,03.02.07,30.648.87
01/01/2022,03.04.01,337.137.58
01/01/2022,03.04.02,172.386.59
01/01/2022,03.06.01,135.177.71
01/01/2022,03.06.02,13.517.77
01/01/2022,03.06.03,14.644.25
01/01/2022,03.06.04,11.264.81
01/01/2022,03.06.05,1.351.78
01/01/2022,03.06.06,405.53
01/01/2022,03.06.07,2.027.67
01/01/2022,03.06.08,1.013.83
01/01/2022,03.06.09,12.165.99
01/01/2022,03.06.10,1.216.60
01/01/2022,03.06.11,1.105.51
01/01/2022,03.06.12,2.973.91
01/01/2022,03.06.13,1.486.95
01/01/2022,03.06.14,540.71
01/01/2022,03.06.15,878.66
01/01/2022,03.06.16,811.07
01/01/2022,03.06.17,3.135.00
01/01/2022,03.06.18,125.40
01/01/2022,03.06.19,282.15
01/01/2022,03.06.20,266.48
01/01/2022,03.06.21,188.10
01/01/2022,03.06.22,35.376.34
01/01/2022,03.06.23,23.215.72
01/01/2022,03.06.24,13.818.88
01/01/2022,03.07.01,2.211.02
01/01/2022,03.07.02,386.93
01/01/2022,03.09.01,946.24
01/01/2022,03.09.02,675.89
01/01/2022,03.10.01,1.658.27
01/01/2022,03.10.02,829.13
01/01/2022,03.12.01,240.82
01/01/2022,03.12.02,324.30
01/02/2022,03.01.01,600.717.88
01/02/2022,03.01.02,477.757.13
01/02/2022,03.02.01,18.923.75
01/02/2022,03.02.02,16.177.13
01/02/2022,03.02.03,10.784.75
01/02/2022,03.02.04,150.986.50
01/02/2022,03.02.05,7.010.09
01/02/2022,03.02.06,32.354.25
01/02/2022,03.02.07,30.035.89
01/02/2022,03.04.01,330.394.83
01/02/2022,03.04.02,167.215.00
01/02/2022,03.06.01,131.735.36
01/02/2022,03.06.02,21.077.66
01/02/2022,03.06.03,14.271.33
01/02/2022,03.06.04,10.977.95
01/02/2022,03.06.05,1.317.35
01/02/2022,03.06.06,395.21
01/02/2022,03.06.07,1.976.03
01/02/2022,03.06.08,988.02
01/02/2022,03.06.09,11.856.18
01/02/2022,03.06.10,1.185.62
01/02/2022,03.06.11,1.078.48
01/02/2022,03.06.12,2.898.18
01/02/2022,03.06.13,1.449.09
01/02/2022,03.06.14,526.94
01/02/2022,03.06.15,856.28
01/02/2022,03.06.16,790.41
01/02/2022,03.06.17,3.135.00
01/02/2022,03.06.18,125.40
01/02/2022,03.06.19,282.15
01/02/2022,03.06.20,266.48
01/02/2022,03.06.21,188.10
01/02/2022,03.06.22,32.354.25
01/02/2022,03.06.23,10.784.75
01/02/2022,03.06.24,13.480.94
01/02/2022,03.07.01,2.156.95
01/02/2022,03.07.02,377.47
01/02/2022,03.09.01,922.15
01/02/2022,03.09.02,658.68
01/02/2022,03.10.01,1.617.71
01/02/2022,03.10.02,808.86
01/02/2022,03.12.01,1.603.47
01/02/2022,03.12.02,814.85
01/03/2022,03.01.01,714.854.28
01/03/2022,03.01.02,520.755.27
01/03/2022,03.02.01,26.780.48
01/03/2022,03.02.02,18.534.14
01/03/2022,03.02.03,12.356.10
01/03/2022,03.02.04,172.985.34
01/03/2022,03.02.05,8.031.46
01/03/2022,03.02.06,37.068.29
01/03/2022,03.02.07,35.742.71
01/03/2022,03.04.01,393.169.85
01/03/2022,03.04.02,182.264.35
01/03/2022,03.06.01,157.598.00
01/03/2022,03.06.02,14.959.87
01/03/2022,03.06.03,16.206.53
01/03/2022,03.06.04,12.466.56
01/03/2022,03.06.05,1.495.99
01/03/2022,03.06.06,448.80
01/03/2022,03.06.07,2.243.98
01/03/2022,03.06.08,1.121.99
01/03/2022,03.06.09,13.463.88
01/03/2022,03.06.10,1.346.39
01/03/2022,03.06.11,1.235.61
01/03/2022,03.06.12,3.291.17
01/03/2022,03.06.13,1.645.59
01/03/2022,03.06.14,598.39
01/03/2022,03.06.15,972.39
01/03/2022,03.06.16,897.59
01/03/2022,03.06.17,3.135.00
01/03/2022,03.06.18,125.40
01/03/2022,03.06.19,282.15
01/03/2022,03.06.20,266.48
01/03/2022,03.06.21,188.10
01/03/2022,03.06.22,34.597.07
01/03/2022,03.06.23,25.947.80
01/03/2022,03.06.24,15.445.12
01/03/2022,03.07.01,2.471.22
01/03/2022,03.07.02,432.46
01/03/2022,03.09.01,1.047.19
01/03/2022,03.09.02,747.99
01/03/2022,03.10.01,1.853.41
01/03/2022,03.10.02,926.71
01/03/2022,03.12.01,394.32
01/03/2022,03.12.02,379.56
01/04/2022,03.01.01,789.258.67
01/04/2022,03.01.02,437.748.95
01/04/2022,03.02.01,26.350.38
01/04/2022,03.02.02,18.405.11
01/04/2022,03.02.03,12.270.08
01/04/2022,03.02.04,171.781.07
01/04/2022,03.02.05,7.975.55
01/04/2022,03.02.06,36.810.23
01/04/2022,03.02.07,39.462.93
01/04/2022,03.04.01,434.092.27
01/04/2022,03.04.02,153.212.13
01/04/2022,03.06.01,144.588.21
01/04/2022,03.06.02,20.242.35
01/04/2022,03.06.03,15.663.72
01/04/2022,03.06.04,12.049.02
01/04/2022,03.06.05,1.445.88
01/04/2022,03.06.06,433.76
01/04/2022,03.06.07,2.168.82
01/04/2022,03.06.08,1.084.41
01/04/2022,03.06.09,13.012.94
01/04/2022,03.06.10,1.301.29
01/04/2022,03.06.11,1.227.01
01/04/2022,03.06.12,3.180.94
01/04/2022,03.06.13,1.590.47
01/04/2022,03.06.14,578.35
01/04/2022,03.06.15,939.82
01/04/2022,03.06.16,867.53
01/04/2022,03.06.17,3.135.00
01/04/2022,03.06.18,125.40
01/04/2022,03.06.19,282.15
01/04/2022,03.06.20,266.48
01/04/2022,03.06.21,188.10
01/04/2022,03.06.22,18.405.11
01/04/2022,03.06.23,12.270.08
01/04/2022,03.06.24,15.337.60
01/04/2022,03.07.01,2.454.02
01/04/2022,03.07.02,429.45
01/04/2022,03.09.01,1.012.12
01/04/2022,03.09.02,722.94
01/04/2022,03.10.01,1.840.51
01/04/2022,03.10.02,920.26
01/04/2022,03.12.01,2.811.03
01/04/2022,03.12.02,1.249.57
01/05/2022,03.01.01,757.745.53
01/05/2022,03.01.02,541.585.48
01/05/2022,03.02.01,29.966.55
01/05/2022,03.02.02,19.489.97
01/05/2022,03.02.03,12.993.31
01/05/2022,03.02.04,181.906.34
01/05/2022,03.02.05,8.445.65
01/05/2022,03.02.06,38.979.93
01/05/2022,03.02.07,37.887.28
01/05/2022,03.04.01,416.760.04
01/05/2022,03.04.02,189.554.92
01/05/2022,03.06.01,157.012.38
01/05/2022,03.06.02,12.560.99
01/05/2022,03.06.03,17.009.67
01/05/2022,03.06.04,13.084.36
01/05/2022,03.06.05,1.570.12
01/05/2022,03.06.06,471.04
01/05/2022,03.06.07,2.355.19
01/05/2022,03.06.08,1.177.59
01/05/2022,03.06.09,14.131.11
01/05/2022,03.06.10,1.413.11
01/05/2022,03.06.11,1.299.33
01/05/2022,03.06.12,6.280.50
01/05/2022,03.06.13,1.727.14
01/05/2022,03.06.14,628.05
01/05/2022,03.06.15,1.413.11
01/05/2022,03.06.16,942.07
01/05/2022,03.06.17,3.135.00
01/05/2022,03.06.18,125.40
01/05/2022,03.06.19,282.15
01/05/2022,03.06.20,266.48
01/05/2022,03.06.21,188.10
01/05/2022,03.06.22,19.489.97
01/05/2022,03.06.23,27.285.95
01/05/2022,03.06.24,16.241.64
01/05/2022,03.07.01,2.598.66
01/05/2022,03.07.02,454.77
01/05/2022,03.09.01,1.099.09
01/05/2022,03.09.02,785.06
01/05/2022,03.10.01,1.949.00
01/05/2022,03.10.02,974.50
01/05/2022,03.12.01,4.438.88
01/05/2022,03.12.02,1.835.60
01/06/2022,03.01.01,648.775.31
01/06/2022,03.01.02,515.977.70
01/06/2022,03.02.01,23.237.65
01/06/2022,03.02.02,17.471.30
01/06/2022,03.02.03,11.647.53
01/06/2022,03.02.04,163.065.42
01/06/2022,03.02.05,7.570.89
01/06/2022,03.02.06,34.942.59
01/06/2022,03.02.07,32.438.77
01/06/2022,03.04.01,356.826.42
01/06/2022,03.04.02,180.592.20
01/06/2022,03.06.01,142.274.19
01/06/2022,03.06.02,22.763.87
01/06/2022,03.06.03,15.413.04
01/06/2022,03.06.04,11.856.18
01/06/2022,03.06.05,1.422.74
01/06/2022,03.06.06,426.82
01/06/2022,03.06.07,2.134.11
01/06/2022,03.06.08,1.067.06
01/06/2022,03.06.09,12.804.68
01/06/2022,03.06.10,1.280.47
01/06/2022,03.06.11,1.164.75
01/06/2022,03.06.12,3.130.03
01/06/2022,03.06.13,1.565.02
01/06/2022,03.06.14,569.10
01/06/2022,03.06.15,924.78
01/06/2022,03.06.16,853.65
01/06/2022,03.06.17,3.385.80
01/06/2022,03.06.18,135.43
01/06/2022,03.06.19,304.72
01/06/2022,03.06.20,287.79
01/06/2022,03.06.21,203.15
01/06/2022,03.06.22,34.942.59
01/06/2022,03.06.23,11.647.53
01/06/2022,03.06.24,14.559.41
01/06/2022,03.07.01,2.329.51
